Index;Year;Title;Pages;Link;Folder;Downloaded;Autor;publikationsdatum;Reisedaten;gesamtseitenzahl;Digitalisat;Zitierfähige URL
55;1786;Briefe über Sachsen von einem Reisenden;Seite(n)16-68;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=20,21;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
56;1786;Briefe über Sachsen von einem Reisenden;Seite(n)14-16;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=18,19;056_1786_Briefe_über_Sachsen_von_einem_Reisenden;;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
57;1787;Briefe über Herrnhut und andere Orte der Oberlausitz;Seite(n)9-12;https://digital.slub-dresden.de/werkansicht/dlf/2424/29;057_1787_Briefe_über_Herrnhut_und_andere_Orte_der_Oberlausitz;;Christian Gottlieb Schmidt;1787;Kein Eintrag vorhanden;184;SLUB Dresden;https://reise.isgv.de/logs/Q109944069
58;1787;Reise von Wien über Prag, Dresden und durch einen Theil der Lausitz nach Berlin und Potsdam;Seite(n)69-71;https://digital.slub-dresden.de/werkansicht/dlf/55644/83;058_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam;;Gottfried von Rotenstein;1787;1784;134;SLUB Dresden;https://reise.isgv.de/logs/Q105102299
59;1787;Reise von Wien über Prag, Dresden und durch einen Theil der Lausitz nach Berlin und Potsdam;Seite(n)13-49;https://digital.slub-dresden.de/werkansicht/dlf/55644/27;059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam;;Gottfried von Rotenstein;1787;1784;134;SLUB Dresden;https://reise.isgv.de/logs/Q105102299
60;1789;Bemerkungen auf der Reise durch Frankreich, Italien und Deutschland;Seite(n)350-374;https://www.digitale-sammlungen.de/de/view/bsb10467735?page=352;060_1789_Bemerkungen_auf_der_Reise_durch_Frankreich,_Italien_und_Deutschland;;Hester Thrale;1789;Kein Eintrag vorhanden;413;BSB München;https://reise.isgv.de/logs/Q109944043
61;1790;Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen;Seite(n)142-144;https://digital.slub-dresden.de/werkansicht/dlf/1821/154;061_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen;;Johann Christoph Hornuff;1790;Kein Eintrag vorhanden;192;SLUB Dresden;https://reise.isgv.de/logs/Q109943992
62;1790;Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen;Seite(n)106-122;https://digital.slub-dresden.de/werkansicht/dlf/1821/118;062_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen;;Johann Christoph Hornuff;1790;Kein Eintrag vorhanden;192;SLUB Dresden;https://reise.isgv.de/logs/Q109943992
63;1790;Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen;Seite(n)83-104;https://digital.slub-dresden.de/werkansicht/dlf/1821/95;063_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen;;Johann Christoph Hornuff;1790;Kein Eintrag vorhanden;192;SLUB Dresden;https://reise.isgv.de/logs/Q109943992
64;1791;Briefe einer Curländerinn auf einer Reise durch Deutschland;Seite(n)81;https://www.digitale-sammlungen.de/de/view/bsb00075073?q=%28briefe+einer+curl%C3%A4nderinn%29&page=82,83;064_1791_Briefe_einer_Curländerinn_auf_einer_Reise_durch_Deutschland;;Sophie Schwarz;1791;Kein Eintrag vorhanden;175;BSB München;https://reise.isgv.de/logs/Q109944081
65;1791;Briefe einer Curländerinn auf einer Reise durch Deutschland;Seite(n)166;https://www.digitale-sammlungen.de/de/view/bsb00075072?q=%28Briefe+einer+Curl%C3%A4nderinn+Auf+einer+Reise+durch+Deutschland,+Zwei+Theile,+Bd.%3A%29&page=178,179;065_1791_Briefe_einer_Curländerinn_auf_einer_Reise_durch_Deutschland;;Sophie Schwarz;1791;Kein Eintrag vorhanden;175;BSB München;https://reise.isgv.de/logs/Q109944081
66;1791;Briefe einer Curländerinn auf einer Reise durch Deutschland;Seite(n)107-115;https://www.digitale-sammlungen.de/de/view/bsb00075072?q=%28Briefe+einer+Curl%C3%A4nderinn+Auf+einer+Reise+durch+Deutschland,+Zwei+Theile,+Bd.%3A%29&page=118,119;066_1791_Briefe_einer_Curländerinn_auf_einer_Reise_durch_Deutschland;;Sophie Schwarz;1791;Kein Eintrag vorhanden;175;BSB München;https://reise.isgv.de/logs/Q109944081
67;1791;Briefe einer Curländerinn auf einer Reise durch Deutschland;Seite(n)71-75;https://www.digitale-sammlungen.de/de/view/bsb00075072?q=%28Briefe+einer+Curl%C3%A4nderinn+Auf+einer+Reise+durch+Deutschland,+Zwei+Theile,+Bd.%3A%29&page=82,83;067_1791_Briefe_einer_Curländerinn_auf_einer_Reise_durch_Deutschland;;Sophie Schwarz;1791;Kein Eintrag vorhanden;175;BSB München;https://reise.isgv.de/logs/Q109944081
