Index|Year|Title|Author|Travel Period|Pages|Full Page Count|Link|Folder|Digitally Available at|Citable URL|Gender
57|1787|Briefe über Herrnhut und andere Orte der Oberlausitz|Gottfried von Rotenstein|1784|Seite(n)9-12|134|https://digital.slub-dresden.de/werkansicht/dlf/2424/29|057_1787_Briefe_über_Herrnhut_und_andere_Orte_der_Oberlausitz|SLUB Dresden|https://reise.isgv.de/logs/Q105102299|male
58|1787|Reise von Wien über Prag, Dresden und durch einen Theil der Lausitz nach Berlin und Potsdam|Gottfried von Rotenstein|1784|Seite(n)69-71|134|https://digital.slub-dresden.de/werkansicht/dlf/55644/83|058_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|SLUB Dresden|https://reise.isgv.de/logs/Q105102299|male
59|1787|Reise von Wien über Prag, Dresden und durch einen Theil der Lausitz nach Berlin und Potsdam|Hester Thrale|Kein Eintrag vorhanden|Seite(n)13-49|413|https://digital.slub-dresden.de/werkansicht/dlf/55644/27|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|BSB München|https://reise.isgv.de/logs/Q109944043|female
60|1789|Bemerkungen auf der Reise durch Frankreich, Italien und Deutschland|Johann Christoph Hornuff|Kein Eintrag vorhanden|Seite(n)350-374|192|https://www.digitale-sammlungen.de/de/view/bsb10467735?page=352|060_1789_Bemerkungen_auf_der_Reise_durch_Frankreich,_Italien_und_Deutschland|SLUB Dresden|https://reise.isgv.de/logs/Q109943992|male
61|1790|Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen|Johann Christoph Hornuff|Kein Eintrag vorhanden|Seite(n)142-144|192|https://digital.slub-dresden.de/werkansicht/dlf/1821/154|061_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|SLUB Dresden|https://reise.isgv.de/logs/Q109943992|male
62|1790|Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen|Johann Christoph Hornuff|Kein Eintrag vorhanden|Seite(n)106-122|192|https://digital.slub-dresden.de/werkansicht/dlf/1821/118|062_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|SLUB Dresden|https://reise.isgv.de/logs/Q109943992|male
63|1790|Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen|Sophie Schwarz|Kein Eintrag vorhanden|Seite(n)83-104|175|https://digital.slub-dresden.de/werkansicht/dlf/1821/95|063_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|BSB München|https://reise.isgv.de/logs/Q109944081|female
64|1791|Briefe einer Curländerinn auf einer Reise durch Deutschland|Sophie Schwarz|Kein Eintrag vorhanden|Seite(n)81|175|https://www.digitale-sammlungen.de/de/view/bsb00075073?q=%28briefe+einer+curl%C3%A4nderinn%29&page=82,83|064_1791_Briefe_einer_Curländerinn_auf_einer_Reise_durch_Deutschland|BSB München|https://reise.isgv.de/logs/Q109944081|female
65|1791|Briefe einer Curländerinn auf einer Reise durch Deutschland|Sophie Schwarz|Kein Eintrag vorhanden|Seite(n)166|175|https://www.digitale-sammlungen.de/de/view/bsb00075072?q=%28Briefe+einer+Curl%C3%A4nderinn+Auf+einer+Reise+durch+Deutschland,+Zwei+Theile,+Bd.%3A%29&page=178,179|065_1791_Briefe_einer_Curländerinn_auf_einer_Reise_durch_Deutschland|BSB München|https://reise.isgv.de/logs/Q109944081|female
66|1791|Briefe einer Curländerinn auf einer Reise durch Deutschland|Sophie Schwarz|Kein Eintrag vorhanden|Seite(n)107-115|175|https://www.digitale-sammlungen.de/de/view/bsb00075072?q=%28Briefe+einer+Curl%C3%A4nderinn+Auf+einer+Reise+durch+Deutschland,+Zwei+Theile,+Bd.%3A%29&page=118,119|066_1791_Briefe_einer_Curländerinn_auf_einer_Reise_durch_Deutschland|BSB München|https://reise.isgv.de/logs/Q109944081|female
