Name;Autor;publikationsdatum;Reisedaten;gesamtseitenzahl;Digitalisat;Zitierfähige URL
Karl Wertheims Reise durch Kursachsen;Karl Gottlob Köhler;1793;Kein Eintrag vorhanden;259;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944002
Karl Wertheims Reise durch Kursachsen;Karl Gottlob Köhler;1793;Kein Eintrag vorhanden;259;Kein Eintrag vorhanden;https://reise.isgv.de/logs/Q109944002
Reise in Deutschland, der Schweiz, Italien und Sicilien;Friedrich Leopold Graf zu Stolberg;1794;1792;398;BSB München;https://reise.isgv.de/logs/Q109944095
Kleine Wanderungen durch Sachsen und Brandenburg;Kein Eintrag vorhanden;1795;Kein Eintrag vorhanden;435;SLUB Dresden;https://reise.isgv.de/logs/Q109944170
Kleine Wanderungen durch Sachsen und Brandenburg;Kein Eintrag vorhanden;1795;Kein Eintrag vorhanden;435;SLUB Dresden;https://reise.isgv.de/logs/Q109944170
Reise eines Liefländers von Riga nach Warschau, durch Südpreußen, über Breslau, Dresden, Karlsbad, Bayreuth, Nürnberg, Regensburg, München, Salzburg, Linz, Wien und Klagenfurt, nach Bozen in Tyrol;Joachim Christoph Friedrich Schulz;1795;Kein Eintrag vorhanden;1400;BBAW;https://reise.isgv.de/logs/Q109944078
Reise eines Liefländers von Riga nach Warschau, durch Südpreußen, über Breslau, Dresden, Karlsbad, Bayreuth, Nürnberg, Regensburg, München, Salzburg, Linz, Wien und Klagenfurt, nach Bozen in Tyrol;Joachim Christoph Friedrich Schulz;1795;Kein Eintrag vorhanden;1400;BBAW;https://reise.isgv.de/logs/Q109944078
Reise eines Liefländers von Riga nach Warschau, durch Südpreußen, über Breslau, Dresden, Karlsbad, Bayreuth, Nürnberg, Regensburg, München, Salzburg, Linz, Wien und Klagenfurt, nach Bozen in Tyrol;Joachim Christoph Friedrich Schulz;1795;Kein Eintrag vorhanden;1400;BBAW;https://reise.isgv.de/logs/Q109944078
Reise eines Liefländers von Riga nach Warschau, durch Südpreußen, über Breslau, Dresden, Karlsbad, Bayreuth, Nürnberg, Regensburg, München, Salzburg, Linz, Wien und Klagenfurt, nach Bozen in Tyrol;Joachim Christoph Friedrich Schulz;1795;Kein Eintrag vorhanden;1400;BBAW;https://reise.isgv.de/logs/Q109944078
Hans Kiekindiewelts Reisen in alle vier Weltteile und andere Schriften;Georg Friedrich Rebmann;1795;Kein Eintrag vorhanden;254;SLUB Dresden;https://reise.isgv.de/logs/Q109944053
Hans Kiekindiewelts Reisen in alle vier Weltteile und andere Schriften;Georg Friedrich Rebmann;1795;Kein Eintrag vorhanden;254;SLUB Dresden;https://reise.isgv.de/logs/Q109944053
Hans Kiekindiewelts Reisen in alle vier Weltteile und andere Schriften;Georg Friedrich Rebmann;1795;Kein Eintrag vorhanden;254;SLUB Dresden;https://reise.isgv.de/logs/Q109944053
Wanderungen und Kreuzzüge durch einen Theil Deutschlands;Georg Friedrich Rebmann;1795;Kein Eintrag vorhanden;270;BSB München;https://reise.isgv.de/logs/Q109944052
Wanderungen und Kreuzzüge durch einen Theil Deutschlands;Georg Friedrich Rebmann;1795;Kein Eintrag vorhanden;270;BSB München;https://reise.isgv.de/logs/Q109944052
Wanderungen und Kreuzzüge durch einen Theil Deutschlands;Georg Friedrich Rebmann;1795;Kein Eintrag vorhanden;270;BSB München;https://reise.isgv.de/logs/Q109944052
Bemerkungen auf einer Reise von Kopenhagen nach Wien im Jahr 1793;Emanuel Bozenhard;1795;1793;184;BSB München;https://reise.isgv.de/logs/Q109943926
