Index;Year;Title;Pages;Link;Folder;Downloaded
68;1791;Briefe einer Curländerinn auf einer Reise durch Deutschland;Seite(n)62-66;https://www.digitale-sammlungen.de/de/view/bsb00075072?q=%28Briefe+einer+Curl%C3%A4nderinn+Auf+einer+Reise+durch+Deutschland,+Zwei+Theile,+Bd.%3A%29&page=74,75;068_1791_Briefe_einer_Curländerinn_auf_einer_Reise_durch_Deutschland;
70;1793;Bemerkungen auf einer Reise von Jena nach Altenburg, Dresden, Königstein und Meißen;Seite(n)341;https://ds.ub.uni-bielefeld.de/viewer/image/1921388_010/357/;070_1793_Bemerkungen_auf_einer_Reise_von_Jena_nach_Altenburg,_Dresden,_Königstein_und_Meißen;
71;1793;Bemerkungen auf einer Reise von Jena nach Altenburg, Dresden, Königstein und Meißen;Seite(n)325-333;https://ds.ub.uni-bielefeld.de/viewer/image/1921388_010/341/;071_1793_Bemerkungen_auf_einer_Reise_von_Jena_nach_Altenburg,_Dresden,_Königstein_und_Meißen;
72;1793;Briefe eines reisenden Dänen. Geschrieben im Jahre 1791 und 1792 während seiner Reise durch einen Theil Deutschlands, der Schweiz und Frankreichs;Seite(n)62-63;https://www.digitale-sammlungen.de/de/view/bsb10468214?page=70;072_1793_Briefe_eines_reisenden_Dänen._Geschrieben_im_Jahre_1791_und_1792_während_seiner_Reise_durch_einen_Th;
73;1793;Briefe eines reisenden Dänen. Geschrieben im Jahre 1791 und 1792 während seiner Reise durch einen Theil Deutschlands, der Schweiz und Frankreichs;Seite(n)58-60;https://www.digitale-sammlungen.de/de/view/bsb10468214?page=66;073_1793_Briefe_eines_reisenden_Dänen._Geschrieben_im_Jahre_1791_und_1792_während_seiner_Reise_durch_einen_Th;
74;1793;Briefe eines reisenden Dänen. Geschrieben im Jahre 1791 und 1792 während seiner Reise durch einen Theil Deutschlands, der Schweiz und Frankreichs;Seite(n)30;https://www.digitale-sammlungen.de/de/view/bsb10468214?page=38;074_1793_Briefe_eines_reisenden_Dänen._Geschrieben_im_Jahre_1791_und_1792_während_seiner_Reise_durch_einen_Th;
75;1793;Briefe auf einer Reise durch Deutschland im Jahre 1791;Seite(n)197-201;https://www.digitale-sammlungen.de/de/view/bsb11095835?page=215;075_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791;
76;1793;Briefe auf einer Reise durch Deutschland im Jahre 1791;Seite(n)154-197;https://www.digitale-sammlungen.de/de/view/bsb11095835?page=172;076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791;
80;1794;Reise in Deutschland, der Schweiz, Italien und Sicilien;Seite(n)398;https://www.digitale-sammlungen.de/de/view/bsb10468286?page=402;080_1794_Reise_in_Deutschland,_der_Schweiz,_Italien_und_Sicilien;
81;1795;Kleine Wanderungen durch Sachsen und Brandenburg;Seite(n)66-102;https://digital.slub-dresden.de/werkansicht/dlf/69234/82;081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg;
82;1795;Kleine Wanderungen durch Sachsen und Brandenburg;Seite(n)23-48;https://digital.slub-dresden.de/werkansicht/dlf/69234/39;082_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg;
83;1795;Reise eines Liefländers von Riga nach Warschau, durch Südpreußen, über Breslau, Dresden, Karlsbad, Bayreuth, Nürnberg, Regensburg, München, Salzburg, Linz, Wien und Klagenfurt, nach Bozen in Tyrol;Seite(n)35-36;https://www.deutschestextarchiv.de/book/view/schulz_reise03_1795?p=43;083_1795_Reise_eines_Liefländers_von_Riga_nach_Warschau,_durch_Südpreußen,_über_Breslau,_Dresden,_Karlsbad,_B;
84;1795;Reise eines Liefländers von Riga nach Warschau, durch Südpreußen, über Breslau, Dresden, Karlsbad, Bayreuth, Nürnberg, Regensburg, München, Salzburg, Linz, Wien und Klagenfurt, nach Bozen in Tyrol;Seite(n)5-35;https://www.deutschestextarchiv.de/book/view/schulz_reise03_1795?p=13;084_1795_Reise_eines_Liefländers_von_Riga_nach_Warschau,_durch_Südpreußen,_über_Breslau,_Dresden,_Karlsbad,_B;
85;1795;Reise eines Liefländers von Riga nach Warschau, durch Südpreußen, über Breslau, Dresden, Karlsbad, Bayreuth, Nürnberg, Regensburg, München, Salzburg, Linz, Wien und Klagenfurt, nach Bozen in Tyrol;Seite(n)238-241;https://www.deutschestextarchiv.de/book/view/schulz_reise0202_1795?p=248;085_1795_Reise_eines_Liefländers_von_Riga_nach_Warschau,_durch_Südpreußen,_über_Breslau,_Dresden,_Karlsbad,_B;
86;1795;Reise eines Liefländers von Riga nach Warschau, durch Südpreußen, über Breslau, Dresden, Karlsbad, Bayreuth, Nürnberg, Regensburg, München, Salzburg, Linz, Wien und Klagenfurt, nach Bozen in Tyrol;Seite(n)237-238;https://www.deutschestextarchiv.de/book/view/schulz_reise0202_1795?p=247;086_1795_Reise_eines_Liefländers_von_Riga_nach_Warschau,_durch_Südpreußen,_über_Breslau,_Dresden,_Karlsbad,_B;
87;1795;Hans Kiekindiewelts Reisen in alle vier Weltteile und andere Schriften;Seite(n)166-229;https://digital.slub-dresden.de/werkansicht/dlf/55979/172;087_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften;
88;1795;Hans Kiekindiewelts Reisen in alle vier Weltteile und andere Schriften;Seite(n)130-166;https://digital.slub-dresden.de/werkansicht/dlf/55979/136;088_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften;
89;1795;Hans Kiekindiewelts Reisen in alle vier Weltteile und andere Schriften;Seite(n)372-385;https://www.wikidata.org/.well-known/genid/3d72d55d7c9f79c934bd36c67567c78b;089_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften;
90;1795;Wanderungen und Kreuzzüge durch einen Theil Deutschlands;Seite(n)176-266;https://www.digitale-sammlungen.de/de/view/bsb10469118?page=176;090_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands;
91;1795;Wanderungen und Kreuzzüge durch einen Theil Deutschlands;Seite(n)141-169;https://www.digitale-sammlungen.de/de/view/bsb10469118?page=141;091_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands;
