Entity|Type|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|distance_to_dresden_km|Index|Year|Title|Author|Travel Period|Pages|Full Page Count|Link_meta|Folder|Digitally Available at|Citable URL|Gender
Dresden|Place|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000536.tif.original|0.13293315314514328|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male
Possendorf|Place|https://de.wikipedia.org/wiki/Possendorf_(Freital)|50.9671664|13.7115177|Possendorf|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000536.tif.original|9.429312302737381|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male
Dresden|Location|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000537.tif.original|0.13293315314514328|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male
Dippoldiswalda|Location|https://de.wikipedia.org/wiki/Dippoldiswalde|50.8950479|13.6633335|Dippoldiswalde|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000537.tif.original|18.034042343892846|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male
Reinhardsgrimme|Location||50.8928546|13.7560248|Reinhardtsgrimma|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000538.tif.original|17.567268229183114|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male
Dresden|Location|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000538.tif.original|0.13293315314514328|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male
Dresden|Location|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000540.tif.original|0.13293315314514328|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male
Lockewitz|Location|https://de.wikipedia.org/wiki/Lockwitz|50.9872806|13.8062434|Löckwitz|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000540.tif.original|8.515686897739851|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male
Rackenitz|Location|https://de.wikipedia.org/wiki/Räcknitz|51.0251896|13.7333866|Räcknitz|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000540.tif.original|2.8165950539817874|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male
Dresden|Location|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000541.tif.original|0.13293315314514328|11|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Androphilus|Kein Eintrag vorhanden|Seite(n)534-544|782|https://digital.slub-dresden.de/werkansicht/dlf/3736/552|011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|SLUB Dresden|https://reise.isgv.de/logs/Q109943920|male
