u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,service,lanes,bridge,access,width,ref,junction,tunnel,est_width,area
433065575,1458120544,0,"[613085964, 191609775]",primary,50,Bautzner Straße,True,False,174.5046744884977,"LINESTRING (13.7739243 51.0668931, 13.7754131 51.0671681, 13.7758961 51.0672576, 13.7760797 51.0672856, 13.7761611 51.0672917, 13.7762609 51.0672938, 13.7763321 51.0672953)",,1,,,,B 6,,,,
439764063,3160439119,0,79498469,primary,50,Bautzner Straße,False,False,25.42524127453504,"LINESTRING (13.7603428 51.0637694, 13.7606944 51.0638282)",,2,,,,B 6,,,,
439764063,4102692710,0,79498469,primary,50,Bautzner Straße,False,True,7.739562874790813,"LINESTRING (13.7603428 51.0637694, 13.7602359 51.0637512)",,2,,,,B 6,,,,
449106844,253894583,0,710529275,primary,50,Bautzner Straße,False,True,64.51880839650195,"LINESTRING (13.7622803 51.0641748, 13.7617142 51.0640352, 13.7616703 51.0640256, 13.7616264 51.0640157, 13.7614164 51.0639704)",,,,,,B 6,,,,
449106844,30405000,0,877615382,primary,50,Bautzner Straße,False,False,19.650106234973606,"LINESTRING (13.7622803 51.0641748, 13.7624563 51.064216, 13.7625438 51.0642365)",,,,,,B 6,,,,
899125162,2550321350,0,"[248200563, 998474741]",living_street,,Jüdenhof,False,False,53.16275921682186,"LINESTRING (13.7390669 51.0512611, 13.7390894 51.0514186, 13.7391347 51.0517373)",,,,,,,,,,
931730932,4102692710,0,79498469,primary,50,Bautzner Straße,False,False,32.02760356572453,"LINESTRING (13.7597923 51.0636788, 13.7602359 51.0637512)",,2,,,,B 6,,,,
931730932,10760995332,0,79498469,primary,50,Bautzner Straße,False,True,2.616200576412336,"LINESTRING (13.7597923 51.0636788, 13.7597561 51.0636728)",,2,,,,B 6,,,,
933166817,3745445125,0,383734607,primary,50,Bautzner Straße,True,False,19.603797900247883,"LINESTRING (13.7485614 51.0634903, 13.7482934 51.0635424)",,2,,,,B 6,,,,
933166849,25433992,0,56067993,primary,50,Bautzner Straße,True,False,18.46144773465812,"LINESTRING (13.7484836 51.0633203, 13.7487461 51.0633016)",,2,,,,B 6,,,,
997588284,2530827413,0,205991584,tertiary,50,Wilsdruffer Straße,True,False,110.67611579166513,"LINESTRING (13.7422443 51.0498125, 13.7418557 51.0498423, 13.7409978 51.0499572, 13.7407397 51.0500076, 13.7406963 51.0500135)",,1,,,,,,,,
997588759,248967422,0,313559084,tertiary,50,Wilsdruffer Straße,True,False,7.861059393831061,"LINESTRING (13.7421935 51.0496518, 13.7423036 51.0496374)",,2,,,,,,,,
1150742636,1231348481,0,769451721,tertiary,20,Wilsdruffer Straße,True,False,106.7725514069786,"LINESTRING (13.7337211 51.050742, 13.7352143 51.0505397)",,1,,,,,,,,
1150742708,3745445171,0,55914188,primary,50,Bautzner Straße,True,False,21.12545060777725,"LINESTRING (13.7468127 51.0637621, 13.7468328 51.0637508, 13.7468586 51.0637345, 13.7470263 51.0636277)",,2,,,,B 6,,,,
1152939223,30405012,0,133959425,primary,50,Bautzner Straße,True,False,15.265486003262879,"LINESTRING (13.7777919 51.0670797, 13.7780068 51.067055)",,1,,,,B 6,,,,
1167820733,27279384,0,55914185,primary,50,Bautzner Straße,True,False,34.906629950490384,"LINESTRING (13.7474389 51.0635127, 13.7475895 51.0634854, 13.7479207 51.0634299)",,2,,,,B 6,,,,
1231348481,1550380576,0,769451721,tertiary,20,Wilsdruffer Straße,True,False,8.109648597379243,"LINESTRING (13.7352143 51.0505397, 13.735328 51.0505252)",,1,,,,,,,,
1458120254,1762496571,0,403537280,primary,50,Bautzner Straße,True,False,44.46423296656309,"LINESTRING (13.7731871 51.0667786, 13.7737537 51.0668675, 13.7738045 51.0668754)",,1,,,,B 6,,,,
1458120318,4283381779,0,215909153,primary,50,Bautzner Straße,True,False,19.62950659950741,"LINESTRING (13.7857803 51.0668457, 13.7860611 51.0668406)",,1,,,,B 6,,,,
1458120323,1458120318,0,215909153,primary,50,Bautzner Straße,True,False,15.03484721161871,"LINESTRING (13.7855683 51.0668688, 13.7857803 51.0668457)",,1,,,,B 6,,,,
1458120434,1762496623,0,132572480,primary,50,Bautzner Straße,True,False,15.29115868074403,"LINESTRING (13.785813 51.0669591, 13.7856032 51.0669982)",,2,,,,B 6,,,,
1458120471,13301769537,0,133959424,primary,50,Bautzner Straße,True,False,44.911120579409996,"LINESTRING (13.7790444 51.0669941, 13.779199 51.0669618, 13.77939 51.0669113, 13.7796248 51.0668474, 13.7796405 51.0668438)",,1,,,,B 6,,,,
1458120478,1458120471,0,133959424,primary,50,Bautzner Straße,True,False,10.17201516843991,"LINESTRING (13.7789033 51.0670166, 13.7790444 51.0669941)",,1,,,,B 6,,,,
1458120482,1458120478,0,133959424,primary,50,Bautzner Straße,True,False,10.254202956092795,"LINESTRING (13.7787573 51.0670259, 13.7789033 51.0670166)",,1,,,,B 6,,,,
1458120544,30405010,0,403537282,primary,50,Bautzner Straße,True,False,14.108031276345239,"LINESTRING (13.7763321 51.0672953, 13.776534 51.0672958)",,1,,,,B 6,,,,
1550380576,312290735,0,1412281292,tertiary,20,Wilsdruffer Straße,True,False,43.444580943271525,"LINESTRING (13.735328 51.0505252, 13.7359394 51.050455)",,1,,,,,,,,
1550380580,344884575,0,28425010,tertiary,20,Wilsdruffer Straße,True,False,34.563930704442754,"LINESTRING (13.7353834 51.0506967, 13.7348988 51.0507585)",,1,,,,,,,,
1701480252,279872625,0,216071215,tertiary,20,Wilsdruffer Straße,True,False,11.810959381550953,"LINESTRING (13.739186 51.0502375, 13.7390208 51.0502598)",,1,,,4.8,,,,,
1703242714,355347947,0,383734605,primary,50,Bautzner Straße,False,False,57.44243453249575,"LINESTRING (13.7490442 51.0633402, 13.7498492 51.0632357)",,4,,,,B 6,,,,
1703242714,67273166,0,"[210129633, 772221599]",primary,50,Bautzner Straße,True,False,23.554389795806323,"LINESTRING (13.7490442 51.0633402, 13.7489835 51.0633622, 13.7488673 51.0634012, 13.7487477 51.0634409)",,1,,,,B 6,,,,
1749554806,25873142,0,244326503,living_street,,Augustusstraße,False,False,7.702652460499327,"LINESTRING (13.7397311 51.0524794, 13.7396957 51.052545)",,,,,,,,,,
1749554806,2515689534,0,"[4621436, 244326503]","['living_street', 'pedestrian']",,Augustusstraße,False,True,22.24341191236726,"LINESTRING (13.7397311 51.0524794, 13.739807 51.0523391, 13.7398335 51.05229)",,,,,,,,,,
1762496546,1762496610,0,3491358,primary,50,Bautzner Straße,True,False,59.425082403093825,"LINESTRING (13.7804055 51.0668255, 13.7802297 51.0668369, 13.7801472 51.0668449, 13.7800523 51.0668567, 13.7799232 51.0668748, 13.7797872 51.0668994, 13.7796879 51.0669216, 13.7795807 51.0669465)",,2,,,,B 6,,,,
1762496571,433065575,0,403537280,primary,50,Bautzner Straße,True,False,8.599448405422761,"LINESTRING (13.7738045 51.0668754, 13.7739243 51.0668931)",,1,,,,B 6,,,,
1762496572,1458120323,0,134123353,primary,50,Bautzner Straße,True,False,17.62399135653283,"LINESTRING (13.785317 51.0668823, 13.7855683 51.0668688)",,3,,,,B 6,,,,
1762496610,1762496632,0,3491358,primary,50,Bautzner Straße,True,False,16.532750729594703,"LINESTRING (13.7795807 51.0669465, 13.779474 51.0669722, 13.7793673 51.0670098)",,2,,,,B 6,,,,
1762496623,433059649,0,37202134,primary,50,Bautzner Straße,True,False,18.980739071759402,"LINESTRING (13.7856032 51.0669982, 13.7854774 51.0670143, 13.785335 51.0670241)",,2,,,,B 6,,,,
1762496629,4283381784,0,3491358,primary,50,Bautzner Straße,True,False,52.5827125427947,"LINESTRING (13.782055 51.0670109, 13.7814056 51.0668929, 13.7813306 51.0668834)",,2,,,,B 6,,,,
1762496632,2379417678,0,"[293485386, 770995556]",primary,50,Bautzner Straße,True,False,117.5413873437535,"LINESTRING (13.7793673 51.0670098, 13.7787982 51.067247, 13.7785105 51.0673565, 13.7783378 51.0674086, 13.7782023 51.0674459, 13.7778951 51.0675094)",,2,,,,B 6,,,,
1762496637,1762496629,0,3491358,primary,50,Bautzner Straße,True,False,10.08356354105634,"LINESTRING (13.7821932 51.067037, 13.782055 51.0670109)",,2,,,,B 6,,,,
1830517913,8567498001,0,79498469,primary,50,Bautzner Straße,False,False,76.99912005791036,"LINESTRING (13.7575401 51.0633085, 13.7578301 51.0633559, 13.7578746 51.0633632, 13.7584787 51.0634627, 13.7586061 51.0634837)",,2,,,,B 6,,,,
1830517913,4128308070,0,"[314079274, 314079275, 383734603]",primary,50,Bautzner Straße,False,True,125.58225703120331,"LINESTRING (13.7575401 51.0633085, 13.7573823 51.0632846, 13.7566279 51.0631707, 13.7559764 51.0630734, 13.7557926 51.0630451)",,"['2', '3']",,,,B 6,,,,
1835743284,10760995332,0,79498469,primary,50,Bautzner Straße,False,False,12.80551189445496,"LINESTRING (13.7595788 51.0636437, 13.7597561 51.0636728)",,2,,,,B 6,,,,
1835743284,4102692708,0,79498469,primary,50,Bautzner Straße,False,True,18.241287210825202,"LINESTRING (13.7595788 51.0636437, 13.7593263 51.0636021)",,2,,,,B 6,,,,
