|Entity|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|distance_to_dresden_km|historical spelling|Certainty|Index|Year|Title|Author|Travel Period|Pages|Full Page Count|Link_meta|Folder|Digitally Available at|Citable_URL|Gender|Full Sentence|osm_feature_found
79|Dreshden|https://de.wikipedia.org/wiki/Dresden|51.0493286|13.7381437|Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000487.tif.original|0.13293315314514328||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Dieses Dreshden ist die Haupt- Stad京 des ganzen Landes, und die ordentliche Resi-denz des Chur-Fürstens.|True
82|Schloss (am Schlosse)|https://de.wikipedia.org/wiki/Dresdner_Schloss|51.0087637|13.8688717|Schloss Dresden|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000492.tif.original|10.300291033070446|Schlosse|certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Sogleich stunde er auf, folchen aus dem Couffre zu holen, war aber so unglücklich darby, dass er dem Kamm von Schlüssel abbrach, weil er zu lange aussen bliebe, gienge Heinrich nach ihm, und fande ihn an den Schlosse meistern.|False
83|Pirnaisches Thor|https://de.wikipedia.org/wiki/Pirnaisches_Tor|51.047784|13.7449791|Pirnaisches Tor|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000493.tif.original|0.6105430541126569|Pirnaischen Thor|certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Vor dem Pirnaischen Thor ist der sogenannte große Königliche Garten/ welcher eine halbe Stunde lang/ und fast eben so breit ist.|False
93|Sachsische Hof||51.1095013|13.8323747|Sachsische Hof|ok|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|00000513.tif.original|9.343397221523972||certain|12|1735|Curieuse Reise-Beschreibung des Herrn Androphili|Karl Ludwig von Pöllnitz|Kein Eintrag vorhanden|Seite(n)462-517|463|https://digital.slub-dresden.de/werkansicht/dlf/3736/480|012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili|BSB München|https://reise.isgv.de/logs/Q109944047|male|Der Sachsische Hof, sag-te Cosmophilus, ist wahrhaftig der galan-testen einer.|False
173|Königl. Lust‑Schlosse|https://de.wikipedia.org/wiki/Schloss_Pillnitz|51.0087637|13.8688717|Schloss Pillnitz|ok|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1078|10.300291033070446|Königl. Lust-Schlosse|certain|15|1740|Neueste Reisen durch Deutschland, Böhmen, Ungarn, die Schweitz, Italien und Lothringen|Johann Andreas Silbermann|1741|Seite(n)1052-1097|438|https://www.digitale-sammlungen.de/de/view/bsb11211808?page=1022|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|SLUB Dresden|https://reise.isgv.de/logs/Q109944172|male|Die Orangerie ist jetzt meistentheils in die Königl.|True
181|Arsenal (Dresden)|https://de.wikipedia.org/wiki/Arsenal_(Dresden)|51.0768948|13.7595723|Arsenal (Dresden)|ok|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1084|3.3319496779741935|Arsenal|certain|15|1740|Neueste Reisen durch Deutschland, Böhmen, Ungarn, die Schweitz, Italien und Lothringen|Johann Andreas Silbermann|1741|Seite(n)1052-1097|438|https://www.digitale-sammlungen.de/de/view/bsb11211808?page=1022|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|SLUB Dresden|https://reise.isgv.de/logs/Q109944172|male|In dem Arsenal rechnet man vor 100000, mann Gewehr, und in allen 1500. metallene Geschütze, worunter die Feld-Stücke Arsenal: die kleinsten sind.|False
188|Japanisches Palais (Japanischer Palast)|https://de.wikipedia.org/wiki/Japanisches_Palais|51.0598716|13.737341|Japanisches Palais|ok|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1087|1.053199220547425|Japanischen Pallaste|certain|15|1740|Neueste Reisen durch Deutschland, Böhmen, Ungarn, die Schweitz, Italien und Lothringen|Johann Andreas Silbermann|1741|Seite(n)1052-1097|438|https://www.digitale-sammlungen.de/de/view/bsb11211808?page=1022|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|SLUB Dresden|https://reise.isgv.de/logs/Q109944172|male|Die Aussicht aus dem Japanischen Pallaste über die Elbe nach Dresden und den umligenden Höhen ist vortrefflich, und dieses vermutlich die Ursache, warum man lieber das schon aufgeführte Schone Gebäude abbricht, als mit Vienbehaltung desselben einen andern Platz zu Des Königs Absichten wehlet.|True
191|Kirche S. Sophie|https://de.wikipedia.org/wiki/St._Sophienkirche_(Dresden)|51.0513752|13.7348664|Sophienkirche (Dresden)|ok|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1088|0.20173271156536338||certain|15|1740|Neueste Reisen durch Deutschland, Böhmen, Ungarn, die Schweitz, Italien und Lothringen|Johann Andreas Silbermann|1741|Seite(n)1052-1097|438|https://www.digitale-sammlungen.de/de/view/bsb11211808?page=1022|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|SLUB Dresden|https://reise.isgv.de/logs/Q109944172|male|dienen, die prospects von der Kirche S. Sophie, und verschiedene Trachten sowohl der Türcken überhaupt, als insbesondere der vornehmen Hof-Bedienten.|False
192|Garten der Orangerie|https://de.wikipedia.org/wiki/Orangerie_(Dresden)|51.0546701|13.7294663|Garten der Orangerie|ok|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1088|0.7247557732718765|Orangerie|certain|15|1740|Neueste Reisen durch Deutschland, Böhmen, Ungarn, die Schweitz, Italien und Lothringen|Johann Andreas Silbermann|1741|Seite(n)1052-1097|438|https://www.digitale-sammlungen.de/de/view/bsb11211808?page=1022|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|SLUB Dresden|https://reise.isgv.de/logs/Q109944172|male|Garten der Orangerie.|False
213|Wilsdruffer Gasse||51.0508485|13.7342594|Wilsdruffer Straße|ok|027_1780_Emanuel_Hartensteins,_eines_perigrinirenden_Weltbürgers,_Reise_von_Berlin_über_Rostock_nach_Dreßden|160|0.2183133564938165||certain|27|1780|Emanuel Hartensteins, eines perigrinirenden Weltbürgers, Reise von Berlin über Rostock nach Dreßden|Kein Eintrag vorhanden|Kein Eintrag vorhanden|Seite(n)158-162|16|https://www.digitale-sammlungen.de/de/view/bsb11251733?page=162|027_1780_Emanuel_Hartensteins,_eines_perigrinirenden_Weltbürgers,_Reise_von_Berlin_über_Rostock_nach_Dreßden|ULB Halle|https://reise.isgv.de/logs/Q109944149|male|Als ich Abends nach Hause ging, so bemerk't ich in der Wilsdruffer Gasse einen schwarzkleideten Mann, mit einem großen Muff, der immer betrachtend neben mir herging.|True
230|Japanisches Palais|https://de.wikipedia.org/wiki/Japanisches_Palais|51.0598716|13.737341|Japanisches Palais|ok|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|172|1.053199220547425|Japanische Palais|certain|31|1782|Bemerkungen über verschiedene Gegenstände auf einer Reise durch einige deutsche Provinzen|Wilhelm Gottlieb Becker|Kein Eintrag vorhanden|Seite(n)168-207|36|https://www.digitale-sammlungen.de/de/view/bsb10470130?page=188|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|BSB München|https://reise.isgv.de/logs/Q109943918|male|Eben dieser August ließ zu der Zeit das Japanische Palais bauen, welches in der Neustadt steht, und unter den hiesigen Gebäuden be-rühmter geworden ist, als es seiner architektonischen Schönheit wegen verdient.|False
237|Zwinger (Zwingergebäude)|https://de.wikipedia.org/wiki/Zwinger_(Dresden)|51.0530296|13.7349775|Zwinger (Dresden)|ok|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|184|0.33444218636878353|Zwingergebäudes|certain|31|1782|Bemerkungen über verschiedene Gegenstände auf einer Reise durch einige deutsche Provinzen|Wilhelm Gottlieb Becker|Kein Eintrag vorhanden|Seite(n)168-207|36|https://www.digitale-sammlungen.de/de/view/bsb10470130?page=188|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|BSB München|https://reise.isgv.de/logs/Q109943918|male|Es ist sehr groß, und nimmt fast die ganze untere Etage des Zwingergebäudes ein, welche durchaus gewölbet, und, den vorhandenen Gegenständen gemäß, ganz artig bemahlt ist.|False
241|Pirnaischer Tor|https://de.wikipedia.org/wiki/Pirnaischer_Tor|51.047784|13.7449791|Pirnaisches Tor|ok|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|189|0.6105430541126569|Pirnaischen Thor,|certain|31|1782|Bemerkungen über verschiedene Gegenstände auf einer Reise durch einige deutsche Provinzen|Wilhelm Gottlieb Becker|Kein Eintrag vorhanden|Seite(n)168-207|36|https://www.digitale-sammlungen.de/de/view/bsb10470130?page=188|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|BSB München|https://reise.isgv.de/logs/Q109943918|male|Er liegt vor dem Pirnaischen Thor, eine Viertelstunde von der Stadt.|False
242|Pirnaische Vorstadt|https://de.wikipedia.org/wiki/Pirnaische_Vorstadt|51.0489849|13.7495667|Pirnaische Vorstadt|ok|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|190|0.8717893368985024|Pirnaischen Vorstadt,|certain|31|1782|Bemerkungen über verschiedene Gegenstände auf einer Reise durch einige deutsche Provinzen|Wilhelm Gottlieb Becker|Kein Eintrag vorhanden|Seite(n)168-207|36|https://www.digitale-sammlungen.de/de/view/bsb10470130?page=188|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|BSB München|https://reise.isgv.de/logs/Q109943918|male|Gegen [PAGE_BREAK] 190 Bemerkungen auf einer Reise, Gegen diesem grossen Garten über, näher an der Pirnaischen Vorstadt, liegt der schöne Garten der ver-witweten Churfürstin.|True
246|Schloss (Residenzschloss Dresden)|https://de.wikipedia.org/wiki/Residenzschloss_(Dresden)|51.0525674|13.7366105|Residenzschloss Dresden|ok|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|196|0.24577605419692458|Schlosse|certain|31|1782|Bemerkungen über verschiedene Gegenstände auf einer Reise durch einige deutsche Provinzen|Wilhelm Gottlieb Becker|Kein Eintrag vorhanden|Seite(n)168-207|36|https://www.digitale-sammlungen.de/de/view/bsb10470130?page=188|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|BSB München|https://reise.isgv.de/logs/Q109943918|male|Das Zwingergebäude, welches nahe am Schlosse ist, gehört mit zu den wichtigsten Gegenständen, die einen Liebhaber seltener Sachen hier beschäftigen können.|True
261|Schlossre Sed-Uxy||50.9596199|13.8845936|Schloss Sedlitz|ok|032_1782_Reise_von_Dresden_nach_Teplitz_in_Böhmen|29|14.426033468037668|Schlossre Sed-Uxy|certain|32|1782|Reise von Dresden nach Teplitz in Böhmen|Kein Eintrag vorhanden|Kein Eintrag vorhanden|Seite(n)29|136|https://www.digitale-sammlungen.de/de/view/bsb10008768?page=41|032_1782_Reise_von_Dresden_nach_Teplitz_in_Böhmen|ULB Halle|https://reise.isgv.de/logs/Q109944151|male|Schlossre Sed-Uxy, Auch Pillnitz, wo der beste Fürst, neben seinen vă terlichen Beschäftigungen, die Freuden des Freun des und Beobachters der Natur genießt, die sich in dieser Aue schöner als in vielen schönen Gegenden an der Elbe zum Genusse wahrer Ruhe ausgebreitet zu haben scimiento.|False
271|Schlosskirche (Dresden)|https://de.wikipedia.org/wiki/Schlosskirche_(Dresden)|50.9875398|13.8088057|Schlosskirche (Dresden)|ok|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000112.tif.original|8.594989323551241|Schlosskirche,|certain|46|1785|Beschreibung seiner Reise durch Ober- und Nieder-Sachsen und Hessen|Kein Eintrag vorhanden|1783|Seite(n)111-139|236|https://digital.slub-dresden.de/werkansicht/dlf/55914/125|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109944123|male|Daher sind auch sehr viele von der Geschichte dieser Stadt, von der bald zu erwähnenden Schlosskirche, und von der hievigen Universàiät handelnde, jedoch nicht alte Schriften vorhanden, die man in Str腦vii Bibliotheca Saxonica, Hallae 1736, verzeichnet findet.|False
277|Semperoper|https://de.wikipedia.org/wiki/Semperoper|51.0545399|13.7352265|Semperoper|ok|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000126.tif.original|0.48261322474205404|Opernhaus,|certain|46|1785|Beschreibung seiner Reise durch Ober- und Nieder-Sachsen und Hessen|Kein Eintrag vorhanden|1783|Seite(n)111-139|236|https://digital.slub-dresden.de/werkansicht/dlf/55914/125|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109944123|male|Ich nenne unter andern den Sulkowskischen Palast, den fürstlich Württembergischen, den Lubomirskischen, den Palast des Chevalier de Saxe, den Brühli-schen, welche vielleicht wegen vorzüglicher Lage, und wegen seiner Größe, und inneren Einrichtung, und da-zu gehörigen prachtigen Garten, hätte Obama stehen sollen; — das schöne Opernhaus, die Bildergal-lerie, die große ausgesuchte Bibliothek und derglei-chen mehr.|True
278|Gemäldegalerie Alte Meister|https://de.wikipedia.org/wiki/Gem%C3%A4ldegalerie_Alte_Meister|51.0534657|13.7346385|Gemäldegalerie Alte Meister|ok|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000126.tif.original|0.3883502909329909|Bildergal-lerie,|certain|46|1785|Beschreibung seiner Reise durch Ober- und Nieder-Sachsen und Hessen|Kein Eintrag vorhanden|1783|Seite(n)111-139|236|https://digital.slub-dresden.de/werkansicht/dlf/55914/125|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109944123|male|Ich nenne unter andern den Sulkowskischen Palast, den fürstlich Württembergischen, den Lubomirskischen, den Palast des Chevalier de Saxe, den Brühli-schen, welche vielleicht wegen vorzüglicher Lage, und wegen seiner Größe, und inneren Einrichtung, und da-zu gehörigen prachtigen Garten, hätte Obama stehen sollen; — das schöne Opernhaus, die Bildergal-lerie, die große ausgesuchte Bibliothek und derglei-chen mehr.|False
279|Altstadt (Dresden)|https://de.wikipedia.org/wiki/Altstadt_(Dresden)|51.0523842|13.7381876|Altstadt (Dresden)|ok|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000126.tif.original|0.22919071582787018|Altstadt|certain|46|1785|Beschreibung seiner Reise durch Ober- und Nieder-Sachsen und Hessen|Kein Eintrag vorhanden|1783|Seite(n)111-139|236|https://digital.slub-dresden.de/werkansicht/dlf/55914/125|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109944123|male|Die Brücke über dem Elbstrohm, wodurch die Neustadt mit der Altstadt verbunden wird, muß um (*) S. Math.|False
284|St. Georg (Dresden)|https://de.wikipedia.org/wiki/St._Georg_(Dresden)|51.046982|13.7603427|St. Georg (Dresden)|ok|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000131.tif.original|1.6550050548930628|St. Georg|certain|46|1785|Beschreibung seiner Reise durch Ober- und Nieder-Sachsen und Hessen|Kein Eintrag vorhanden|1783|Seite(n)111-139|236|https://digital.slub-dresden.de/werkansicht/dlf/55914/125|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109944123|male|[PAGE_BREAK] 117 Bildhauer, welches der König theuer gekauft hat, und ein Bild vom Ritter St. Georg in Stahl, welches wegen seiner Schönheit so hoch geschätzt ist, als wenn es Gold wäre, ob es gleich 76 Mark wiegt.|False
287|Jägerhof|https://de.wikipedia.org/wiki/Jägerhof_(Dresden)|51.0577875|13.7438688|Jägerhof|ok|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000138.tif.original|0.9410565097750583|Jägerhofe|certain|46|1785|Beschreibung seiner Reise durch Ober- und Nieder-Sachsen und Hessen|Kein Eintrag vorhanden|1783|Seite(n)111-139|236|https://digital.slub-dresden.de/werkansicht/dlf/55914/125|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|Kein Eintrag vorhanden|https://reise.isgv.de/logs/Q109944123|male|Hierauf folgt nun die letzte Thiergallerie, welche 95 Ellen lang ist, und wselbst ausgestopfte vierfüßige T�iere in zwei Reihen gegeneinander über stehen; und da die meisten davon hier auf dem Jägerhofe gelebt haben, [PAGE_BREAK] ben, so findet man ihre Gerippe neben ihnen hingestellt.|True
292|Alt‑dresden|https://de.wikipedia.org/wiki/Altstadt_(Dresden)|51.049818|13.6989222|Alt‑dresden|ok|049_1786_Kleine_Wanderungen_durch_Teutschland|147|2.68345501748464|Dresden|certain|49|1786|Kleine Wanderungen durch Teutschland|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)142-220|156|https://www.digitale-sammlungen.de/de/view/bsb10468145?page=146|049_1786_Kleine_Wanderungen_durch_Teutschland|BSB München|https://reise.isgv.de/logs/Q109944000|male|Die Schloßgasse könnte allenfalls mit der Königstrasse in Berlin verglichen werden; sie ist eben so lebhaft, und mit dauerhaftern Gebäuden besetzt als jene, aber bey weitem nicht so lang, ob sie gleich von dem eine Ende der Stadt Alt-dresden bis zum anderen läuft.|False
294|Neustädter Markt|https://de.wikipedia.org/wiki/Neustädter_Markt_(Dresden)|51.0582347|13.7414251|Neustädter Markt|ok|049_1786_Kleine_Wanderungen_durch_Teutschland|151|0.9176526061794544|Markt|certain|49|1786|Kleine Wanderungen durch Teutschland|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)142-220|156|https://www.digitale-sammlungen.de/de/view/bsb10468145?page=146|049_1786_Kleine_Wanderungen_durch_Teutschland|BSB München|https://reise.isgv.de/logs/Q109944000|male|Wenn man über die Brücke kömmt, hat man links die Neustädter-Hauptwacht und den Markt, auf welchen August II. Statue zu Pferde steht.|True
333|Kesidenz||51.0322245|13.5942849|Kesselsdorf|ok|049_1786_Kleine_Wanderungen_durch_Teutschland|202|10.20110488619748||certain|49|1786|Kleine Wanderungen durch Teutschland|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)142-220|156|https://www.digitale-sammlungen.de/de/view/bsb10468145?page=146|049_1786_Kleine_Wanderungen_durch_Teutschland|BSB München|https://reise.isgv.de/logs/Q109944000|male|In dem dunkelsten stdchtchen Hardlands mis-senGroɔmans Schüをつけ nicht so grausam mitgenommen feyn, als hier in der Kesidenz von Kursachsen; und der Direkteur, der den heillofen Einfall , den Nathan (wie Dobb-hel in that) aufs Theater zu bringen, hier in Dreslen haben wolltcc, wurde verdammt werden in è lura fcnąorum.|False
335|Dreslen||51.0493286|13.7381437|Dresden|ok|049_1786_Kleine_Wanderungen_durch_Teutschland|202|0.13293315314514328||certain|49|1786|Kleine Wanderungen durch Teutschland|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)142-220|156|https://www.digitale-sammlungen.de/de/view/bsb10468145?page=146|049_1786_Kleine_Wanderungen_durch_Teutschland|BSB München|https://reise.isgv.de/logs/Q109944000|male|In dem dunkelsten stdchtchen Hardlands mis-senGroɔmans Schüをつけ nicht so grausam mitgenommen feyn, als hier in der Kesidenz von Kursachsen; und der Direkteur, der den heillofen Einfall , den Nathan (wie Dobb-hel in that) aufs Theater zu bringen, hier in Dreslen haben wolltcc, wurde verdammt werden in è lura fcnąorum.|True
342|Pirnschen|https://en.wikipedia.org/wiki/Pirna|50.9616923|13.9386643|Pirna|ok|049_1786_Kleine_Wanderungen_durch_Teutschland|212|17.198782687222987||certain|49|1786|Kleine Wanderungen durch Teutschland|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)142-220|156|https://www.digitale-sammlungen.de/de/view/bsb10468145?page=146|049_1786_Kleine_Wanderungen_durch_Teutschland|BSB München|https://reise.isgv.de/logs/Q109944000|male|Ihre Kirche steht zwischen dem Pirnschen - und See- Thore, und ist ein altes, finsteres Gebäude.|True
360|Vorstadt Dresden|https://de.wikipedia.org/wiki/Dresden-Vorstadt|51.0489849|13.7495667|Vorstadt Dresden|ok|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|17|0.8717893368985024||certain|55|1786|Briefe über Sachsen von einem Reisenden|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)16-68|156|https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=20,21|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|BSB München|https://reise.isgv.de/logs/Q109944000|male|Links die Vor- [PAGE_BREAK] (17) Vorstadt Dresden, wo sich auch die Alauniens hütten befinden, welche bis spät in den Herbst arbeiten, und jährlich eine ansehnliche Menge Alaune liefern; rechts eine große Plaine von ohms gehr 2000 Schritten ins Gevierte, wo die Ar tillerie ihren Exerzierplاظ hat, und wo die jährs lichen Uebungen der Artillerieschule angestelllet werden; gerade vor sich aber Dresden, zwar nicht mit vielen Thürenen prangend, wie eine stolze Königsstadt: doch aber groß genug, um die Res fidenz eines guten Fürsten zu sein.|False
369|Sachsens|https://de.wikipedia.org/wiki/Sachsen|51.056782|13.7337403|Sachsens|ok|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|30|0.75200101107318||certain|55|1786|Briefe über Sachsen von einem Reisenden|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)16-68|156|https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=20,21|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|BSB München|https://reise.isgv.de/logs/Q109944000|male|Wenn ein biederer Mann ein gutes rechtschaffenes Weib haben will, deren Herz nicht jeder faelnde französirte Windebetel einnimmt; die nicht daflber untrostlich ist, wenn die Eine Künftes ihres Mannes ihm nicht erlauben, ihr wenigstens alle vier Wochen einen neuen Knox-puz, und alle halbe Jahre ein neues Kleid zu kaufen; auch altenfalls im Stande wäre, ihrem Manne zu Liebe Poschen und Bussanten wegzU-werfen, und als ein Kind der Natur mit ihrem Körperbalt zuftrieden zu fein, wie ihn die güötige Mutter ihr gab; der gehe ums Himmelswillen nicht nach Dresden, sondern hole seine Gattin aus irgend einem Landstadt vor Sachsens.|False
387|Qebigau||51.0713098|13.6931327|Übigau|ok|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|52|3.8643718264329587||certain|55|1786|Briefe über Sachsen von einem Reisenden|Christian Gottfried Klose|Kein Eintrag vorhanden|Seite(n)16-68|156|https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=20,21|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|BSB München|https://reise.isgv.de/logs/Q109944000|male|Wenn man, anstatt sich nach Qebigau übertragen zu lassen, auf dem nicht allzu hohen Elbf er hingetet, kommt man da, wo sich der Boden nach und nach zu einem steilen Ufer und endlich zu einem Berge erhebet, in das Dorf Priesniz, wo selbstd Vischoss iennno einen Hoff hatte, der jetzt dem Quasi Baron Eibesch 축 gehöret, welcher ihn, nebst den an der Elbe liegenden Garten, nach seiner Phantasie eingerichtet hat.|True
402|Frauen‑Kirche (Frauenkirche Dresden)|https://de.wikipedia.org/wiki/Frauenkirche_Dresden|51.051957|13.7416198|Frauenkirche Dresden|ok|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000028.tif.original|0.34806721038579985|Frauen-Kirche.|certain|59|1787|Reise von Wien über Prag, Dresden und durch einen Theil der Lausitz nach Berlin und Potsdam|Hester Thrale|Kein Eintrag vorhanden|Seite(n)13-49|413|https://digital.slub-dresden.de/werkansicht/dlf/55644/27|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|BSB München|https://reise.isgv.de/logs/Q109944043|female|Unter den Palästen sind der Brühlische und Graf Coselische die schönsten; unter den Kirchen die katholische und die Frauen-Kirche.|False
403|Kurfürstl. Schloß (Residenzschloss Dresden)|https://de.wikipedia.org/wiki/Residenzschloss_Dresden|51.0525674|13.7366105|Residenzschloss Dresden|ok|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000028.tif.original|0.24577605419692458|Schlosse|certain|59|1787|Reise von Wien über Prag, Dresden und durch einen Theil der Lausitz nach Berlin und Potsdam|Hester Thrale|Kein Eintrag vorhanden|Seite(n)13-49|413|https://digital.slub-dresden.de/werkansicht/dlf/55644/27|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|BSB München|https://reise.isgv.de/logs/Q109944043|female|Schade ist es, dass die katholische Kirche vor dem Schlosse steht, denn sie benimmt auf dieser Seite fast allen Prospect.|True
